Ticker Symbol,For Year,Total Assets,Intangible Assets,Liabilities,Earnings Per Share,Total Revenue,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Total Liabilities,Total Equity,Retained Earnings,Gross Margin,Estimated Shares Outstanding,Book Value,Asset Turnover,Total Debt To Equity,date,open,close,low,high,volume,month,Name,Sector,Industry
RL,2016,6213e6,244e6,67e6,4.65,7405e6,255,161,5,8,2469e6,3744e6,6015e6,57,85161290.3226,5902e6,1.1918557862546273,0.6594551282051282,2016,95.669998,97.260002,94.57,97.330002,1085900,04,Ralph Lauren Corporation,Consumer Non-Durables,Apparel
ROK,2016,71012e5,2553e5,-46e6,5.6,58795e5,212,185,12,17,51111e5,19901e5,56684e5,42,130303571.429,68919e5,0.8279586548752323,2.5682629013617406,2016,112.25,113.559998,110.93,113.730003,1326e3,04,"Rockwell Automation, Inc.",Capital Goods,Industrial Machinery/Components
SBUX,2016,143295e5,5163e5,2273e5,1.91,213159e5,105,74,13,20,84455e5,5884e6,59498e5,60,1475235602.09,135859e5,1.4875536480686695,1.4353331067301156,2016,59.610001,61.02,59.41,61.169998,9401100,04,Starbucks Corporation,Consumer Services,Restaurants
SIG,2016,64744e5,4278e5,935e5,5.89,65502e5,398,185,7,11,34137e5,30607e5,35346e5,37,79439728.3531,59531e5,1.011707648585197,1.115333093736727,2016,123,123.970001,122.510002,124.849998,1484600,04,Signet Jewelers Limited,Consumer Services,Consumer Specialties
SJM,2016,159841e5,64944e5,1927e5,5.77,78112e5,130,56,9,15,89756e5,70085e5,12677e5,38,119358752.166,9297e6,0.48868563134615023,1.280673467931797,2016,129.119995,132.520004,129.119995,132.639999,949300,04,J.M. Smucker Company (The),Consumer Non-Durables,Packaged Foods
STX,2016,8252e6,448e6,-144e6,0.83,1116e7,157,118,2,4,6659e6,1593e6,-4311e6,23,298795180.723,7948e6,1.3523994183228307,4.180163214061519,2016,33.900002,33.689999,33.34,34.119999,4555700,04,Seagate Technology PLC,Technology,Electronic Components
STZ,2016,16965e6,34038e5,-87e6,NA,65484e5,131,50,16,27,104054e5,65596e5,60905e5,45,NA,136482e5,0.3859946949602122,1.5862857491310445,2016,150.360001,152.679993,150,153.119995,1415300,04,Constellation Brands Inc,Consumer Non-Durables,Beverages (Production/Distribution)
SWKS,2016,38554e5,67e6,-1536e5,5.27,3289e6,952,751,30,34,314e6,35414e5,22636e5,51,188842504.744,3942e6,0.8530891736266016,0.08866549951996386,2016,77.160004,78.18,76.32,78.230003,2015700,04,"Skyworks Solutions, Inc.",Technology,Semiconductors
SYMC,2016,11767e6,443e6,688e6,3.71,36e8,173,173,69,13,8091e6,3676e6,-655e6,83,670619946.092,10636e6,0.30594034163338146,2.2010337323177365,2016,18.219999,18.41,18.09,18.459999,8804600,04,Symantec Corporation,Technology,Computer Software: Prepackaged Software
SYY,2016,16721804e3,207461e3,-11906e4,1.66,50366919e3,227,167,2,4,13242196e3,3479608e3,9006138e3,18,572061445.783,16633403e3,3.0120505538756466,3.805657418881667,2016,46.57,47.080002,46.419998,47.150002,4026500,04,Sysco Corporation,Consumer Non-Durables,Food Distributors
TDG,2016,10726277e3,1764343e3,-41732e3,2.77,3171411e3,389,293,18,40,11377767e3,-65149e4,-1146963e3,54,211701805.054,9003666e3,0.29566745292891466,-17.464223549095152,2016,218.410004,221.419998,217.039993,221.839996,415800,04,Transdigm Group Incorporated,Capital Goods,Military/Government/Technical
TEL,2016,17608e6,1879e6,-1842e6,5.49,12238e6,156,104,16,16,9123e6,8485e6,8682e6,33,365938069.217,17571e6,0.6950249886415266,1.0751915144372421,2016,61.630001,62.049999,61.220001,62.169998,1625400,04,TE Connectivity Ltd.,Consumer Non-Durables,Electronic Components
TJX,2016,11499482e3,343796e3,569208e3,3.38,30944938e3,154,70,7,12,7192407e3,4307075e3,4311051e3,29,673863313.609,10586478e3,2.6909853852547445,1.6699052140954127,2016,78.220001,78.779999,78.010002,78.989998,4708300,04,"TJX Companies, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
TSN,2016,22373e6,5084e6,-15e7,NA,36881e6,177,78,5,8,12765e6,9608e6,8348e6,13,NA,17439e6,1.6484601975595583,1.3285803497085762,2016,66.599998,68.089996,66.5,68.169998,2601100,04,"Tyson Foods, Inc.",Consumer Non-Durables,Meat/Poultry/Fish
URBN,2016,1833301e3,0,-394e4,1.79,3445134e3,253,153,7,10,696074e3,1137227e3,1160666e3,35,125412849.162,1837241e3,1.8791971422041442,0.6120800860338349,2016,33.970001,34.290001,33.900002,34.580002,3238600,04,"Urban Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
V,2016,64035e6,27234e6,-29e6,NA,15082e6,178,178,40,52,31123e6,32912e6,10462e6,85,NA,3683e7,0.23552744592800812,0.9456429265921245,2016,76.25,77.589996,75.800003,78.25,10183400,04,Visa Inc.,Miscellaneous,Business Services
VAR,2016,3816e6,1047e5,305e5,4.22,32178e5,162,122,13,17,20755e5,17405e5,1069e6,42,95331753.5545,36808e5,0.8432389937106918,1.1924734271760988,2016,79.739998,81.150002,79.32,81.32,503200,04,"Varian Medical Systems, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
VIAB,2016,22508e6,315e6,-229e6,3.63,12488e6,123,100,12,20,18231e6,4277e6,15628e6,46,396143250.689,22422e6,0.5548249511284876,4.262567220014028,2016,40.75,41.169998,40.259998,41.700001,2388100,04,Viacom Inc.,Consumer Services,Television Services
WDC,2016,32862e6,5034e6,-291e6,1.01,12994e6,181,150,2,4,21717e6,11145e6,8848e6,26,239603960.396,28119e6,0.3954111131397967,1.9485868102288022,2016,46.880001,46.599998,45.799999,47,4007900,04,Western Digital Corporation,Technology,Electronic Components
WFM,2016,6341e6,74e6,6e7,1.55,15724e6,147,109,3,5,3117e6,3224e6,2349e6,34,327096774.194,6207e6,2.4797350575618986,0.9668114143920595,2016,30.969999,30.52,30.26,31.059999,8281200,04,"Whole Foods Market, Inc.",Consumer Services,Food & Staples Retailing
WMT,2016,199581e6,0,2839e6,4.58,48213e7,93,24,3,5,119035e6,80546e6,90021e6,25,3208296943.23,196742e6,2.415710914365596,1.4778511657934597,2016,68.019997,69.059998,68.019997,69.199997,6602400,04,"Wal-Mart Stores, Inc.",Consumer Services,Department/Specialty Retail Stores
WRK,2016,230382e5,25993e5,-293e5,-1.56,141718e5,179,104,3,3,133094e5,97288e5,-1059e5,19,249935897.436,204682e5,0.6151435442005018,1.3680412795000412,2016,38.779999,39.200001,38.459999,39.48,1975300,04,Westrock Company,Consumer Durables,Containers/Packaging
XLNX,2016,4823154e3,6202e3,-21117e3,2.14,2213881e3,414,395,25,30,2233261e3,2589893e3,1867066e3,70,257414485.981,4838069e3,0.4590110537627453,0.862298558280207,2016,46.990002,47.619999,46.630001,47.700001,1930200,04,"Xilinx, Inc.",Technology,Semiconductors
